dataset,model,seed,rate,accuracy,recall_g0,recall_g1,masking_gap,exploratory
Adult Income,LR,21,0.0,0.823626,0.212121,0.477627,0.0,False
Adult Income,LR,21,0.05,0.817586,0.201102,0.442433,0.00498,False
Adult Income,LR,21,0.1,0.814822,0.201102,0.414279,0.002216,False
Adult Income,LR,21,0.2,0.808169,0.187328,0.362494,0.009336,False
Adult Income,RF,21,0.0,0.855973,0.534435,0.63449,0.0,False
Adult Income,RF,21,0.05,0.847579,0.506887,0.59628,0.019154,False
Adult Income,RF,21,0.1,0.840106,0.484848,0.559578,0.03372,False
Adult Income,RF,21,0.2,0.832224,0.432507,0.499749,0.07818,False
Adult Income,XGB,21,0.0,0.870918,0.586777,0.669683,0.0,False
Adult Income,XGB,21,0.05,0.864776,0.548209,0.64002,0.032426,False
Adult Income,XGB,21,0.1,0.857816,0.528926,0.610357,0.044749,False
Adult Income,XGB,21,0.2,0.847272,0.476584,0.551533,0.086547,False
Adult Income,LGB,21,0.0,0.872863,0.584022,0.656109,0.0,False
Adult Income,LGB,21,0.05,0.866619,0.556474,0.628959,0.021304,False
Adult Income,LGB,21,0.1,0.860886,0.53168,0.599799,0.040365,False
Adult Income,LGB,21,0.2,0.849626,0.473829,0.543489,0.086956,False
Adult Income,MLP,21,0.0,0.843689,0.449036,0.653595,0.0,False
Adult Income,MLP,21,0.05,0.835091,0.432507,0.633987,0.00793,False
Adult Income,MLP,21,0.1,0.830279,0.446281,0.614882,-0.010655,False
Adult Income,MLP,21,0.2,0.819531,0.415978,0.580191,0.0089,False
Adult Income,LR,37,0.0,0.826594,0.249292,0.462731,0.0,False
Adult Income,LR,37,0.05,0.822704,0.240793,0.431216,0.004609,False
Adult Income,LR,37,0.1,0.819634,0.235127,0.401201,0.007204,False
Adult Income,LR,37,0.2,0.81298,0.21813,0.349175,0.017547,False
Adult Income,RF,37,0.0,0.858225,0.560907,0.641821,0.0,False
Adult Income,RF,37,0.05,0.854028,0.532578,0.608804,0.024132,False
Adult Income,RF,37,0.1,0.847886,0.518414,0.567784,0.032154,False
Adult Income,RF,37,0.2,0.839492,0.467422,0.498749,0.074752,False
Adult Income,XGB,37,0.0,0.874706,0.654391,0.690345,0.0,False
Adult Income,XGB,37,0.05,0.870099,0.614731,0.656328,0.035054,False
Adult Income,XGB,37,0.1,0.863036,0.572238,0.614807,0.070483,False
Adult Income,XGB,37,0.2,0.850957,0.518414,0.54077,0.112229,False
Adult Income,LGB,37,0.0,0.875115,0.634561,0.682341,0.0,False
Adult Income,LGB,37,0.05,0.868154,0.586402,0.643822,0.041198,False
Adult Income,LGB,37,0.1,0.862115,0.555241,0.602301,0.06632,False
Adult Income,LGB,37,0.2,0.851674,0.501416,0.529765,0.109703,False
Adult Income,MLP,37,0.0,0.853209,0.481586,0.607804,0.0,False
Adult Income,MLP,37,0.05,0.847067,0.456091,0.566783,0.019354,False
Adult Income,MLP,37,0.1,0.841949,0.441926,0.535268,0.0284,False
Adult Income,MLP,37,0.2,0.834988,0.407932,0.478739,0.055433,False
Adult Income,LR,55,0.0,0.821271,0.243478,0.458396,0.0,False
Adult Income,LR,55,0.05,0.818712,0.226087,0.432985,0.014832,False
Adult Income,LR,55,0.1,0.814822,0.223188,0.402591,0.013841,False
Adult Income,LR,55,0.2,0.808988,0.2,0.348779,0.031195,False
Adult Income,RF,55,0.0,0.853107,0.550725,0.627304,0.0,False
Adult Income,RF,55,0.05,0.849422,0.53913,0.598904,0.007909,False
