dataset,model,seed,rate,accuracy,recall_g0,recall_g1,masking_gap,exploratory
COMPAS,LR,21,0.2,0.657828,0.721805,0.534351,-0.000157,False
COMPAS,RF,21,0.0,0.644571,0.693609,0.576336,0.0,False
COMPAS,RF,21,0.05,0.648359,0.703008,0.580153,-0.005611,False
COMPAS,RF,21,0.1,0.643308,0.68609,0.580153,0.006256,False
COMPAS,RF,21,0.2,0.631944,0.671053,0.583969,0.00993,False
COMPAS,XGB,21,0.0,0.664141,0.671053,0.515267,0.0,False
COMPAS,XGB,21,0.05,0.665404,0.680451,0.538168,-0.008136,False
COMPAS,XGB,21,0.1,0.65404,0.676692,0.553435,-0.01574,False
COMPAS,XGB,21,0.2,0.643308,0.682331,0.549618,-0.032112,False
COMPAS,LGB,21,0.0,0.666035,0.678571,0.496183,0.0,False
COMPAS,LGB,21,0.05,0.667929,0.684211,0.522901,-0.003745,False
COMPAS,LGB,21,0.1,0.657828,0.672932,0.549618,-0.002568,False
COMPAS,LGB,21,0.2,0.643939,0.671053,0.561069,-0.014577,False
COMPAS,MLP,21,0.0,0.696338,0.721805,0.492366,0.0,False
COMPAS,MLP,21,0.05,0.695707,0.725564,0.48855,-0.004391,False
COMPAS,MLP,21,0.1,0.6875,0.701128,0.492366,0.011838,False
COMPAS,MLP,21,0.2,0.67298,0.672932,0.473282,0.025514,False
COMPAS,LR,37,0.0,0.696338,0.771863,0.488806,0.0,False
COMPAS,LR,37,0.05,0.6875,0.754753,0.473881,0.008272,False
COMPAS,LR,37,0.1,0.679924,0.730038,0.473881,0.025411,False
COMPAS,LR,37,0.2,0.676136,0.712928,0.451493,0.038733,False
COMPAS,RF,37,0.0,0.64899,0.705323,0.533582,0.0,False
COMPAS,RF,37,0.05,0.638258,0.686312,0.526119,0.008279,False
COMPAS,RF,37,0.1,0.622475,0.652091,0.511194,0.026717,False
COMPAS,RF,37,0.2,0.61553,0.629278,0.485075,0.042586,False
COMPAS,XGB,37,0.0,0.67298,0.714829,0.514925,0.0,False
COMPAS,XGB,37,0.05,0.662247,0.697719,0.496269,0.006378,False
COMPAS,XGB,37,0.1,0.65846,0.671103,0.481343,0.029206,False
COMPAS,XGB,37,0.2,0.657828,0.644487,0.451493,0.055191,False
COMPAS,LGB,37,0.0,0.667929,0.697719,0.473881,0.0,False
COMPAS,LGB,37,0.05,0.660985,0.686312,0.458955,0.004462,False
COMPAS,LGB,37,0.1,0.653409,0.655894,0.447761,0.027305,False
COMPAS,LGB,37,0.2,0.650253,0.625475,0.410448,0.054567,False
COMPAS,MLP,37,0.0,0.703283,0.730038,0.473881,0.0,False
COMPAS,MLP,37,0.05,0.689394,0.701521,0.447761,0.014628,False
COMPAS,MLP,37,0.1,0.682449,0.676806,0.440299,0.032399,False
COMPAS,MLP,37,0.2,0.676768,0.642586,0.395522,0.060937,False
COMPAS,LR,55,0.0,0.655934,0.734918,0.449393,0.0,False
COMPAS,LR,55,0.05,0.652778,0.727605,0.445344,0.004156,False
COMPAS,LR,55,0.1,0.642677,0.71298,0.441296,0.00868,False
COMPAS,LR,55,0.2,0.635732,0.71298,0.441296,0.001736,False
COMPAS,RF,55,0.0,0.621843,0.672761,0.48583,0.0,False
COMPAS,RF,55,0.05,0.623737,0.661792,0.489879,0.012863,False
